img,iou
0,u227-6_t.png,0.7612262170212073
1,g090-5_t.png,0.7467409591692747
2,b154-6_t.png,0.8317131270523935
3,u221-9_t.png,0.8137641051601189
4,u276-6_t.png,0.7508141167942736
5,u280-5_t.png,0.676949635967875
6,u211-8_t.png,0.8015120844816233
7,g003-8_t.png,0.7322915809697105
8,g053-6_t.png,0.6892680412371134
9,b163-7_t.png,0.8067157660178788
10,u238-1_t.png,0.7288115282063573
11,g075-3_t.png,0.8325256101453902
12,b191-3_t.png,0.7573514291589554
13,u237-1_t.png,0.751968678167652
14,u266-3_t.png,0.73592018806998
15,u226-3_t.png,0.7490203786601063
16,g012-8_t.png,0.7684599704958773
17,g023-6_t.png,0.7387957187989387
18,u293-1_t.png,0.706557175550626
19,g073-8_t.png,0.9005471676191846
20,u241-6_t.png,0.7253061484549219
21,u256-7_t.png,0.7207110944898191
22,b122-4_t.png,0.88172469890696
23,u220-5_t.png,0.7413116049229721
24,g057-4_t.png,0.7969365632123546
25,b101-9_t.png,0.7203682086515693
26,b120-9_t.png,0.7881037771842808
27,u224-6_t.png,0.7198804314863753
28,b198-6_t.png,0.8464217209578933
29,b132-7_t.png,0.7640046719389438
30,b136-8_t.png,0.7185711135611907
31,b148-6_t.png,0.7438596845731836
32,g001-2_t.png,0.8515598368136883
33,g084-6_t.png,0.7778423995540293
34,b139-2_t.png,0.720122748844001
35,u228-3_t.png,0.8570431870508617
36,g077-1_t.png,0.8604731774700061
37,u245-7_t.png,0.8716698315219588
38,u267-3_t.png,0.8230099721625145
39,g014-7_t.png,0.7508826954429004
40,g074-3_t.png,0.7666130591085774
41,u212-2_t.png,0.7922315561839807
42,g068-6_t.png,0.7571300448430494
43,b143-6_t.png,0.7376828103646549
44,b189-7_t.png,0.8508894868176247
45,u286-6_t.png,0.8351638101900432
46,u295-1_t.png,0.7331731218791494
47,b195-3_t.png,0.7304466475712963
48,u217-6_t.png,0.6879511876360571
49,b146-6_t.png,0.7869226267237907
